  2.000000      4.120929
  2.157895      3.702085
  2.315789      3.536277
  2.473684      3.356914
  2.631579      3.219276
  2.789474      2.986966
  2.947368      2.814258
  3.105263      3.082964
  3.263158      2.890631
  3.421053      2.694725
  3.578947      2.762659
  3.736842      2.772538
  3.894737      2.729702
  4.052632      2.743451
  4.210526      2.613719
  4.368421      2.650536
  4.526316      2.508312
  4.684211      2.571208
  4.842105      2.463302
  5.000000      2.464285
